station,lon,lat
93329,-100.1217083,18.86603846
93330,-100.0741622,18.86544502
93331,-100.0266165,18.86483675
93332,-99.97907123,18.86421365
93333,-99.93152638,18.86357571
93334,-99.88398199,18.86292294
93335,-99.83643805,18.86225533
93336,-99.78889459,18.8615729
93337,-99.7413516,18.86087563
93338,-99.6938091,18.86016352
93339,-99.6462671,18.85943659
93340,-99.59872562,18.85869482
93341,-99.55118465,18.85793822
93342,-99.50364421,18.85716679
93343,-99.45610431,18.85638053
93344,-99.40856496,18.85557944
93345,-99.36102618,18.85476351
93346,-99.31348797,18.85393275
93347,-99.26595033,18.85308717
93348,-99.21841329,18.85222675
93349,-99.17087686,18.8513515
93350,-99.12334103,18.85046142
93351,-99.07580583,18.84955651
93352,-99.02827126,18.84863678
93353,-98.98073734,18.84770221
93354,-98.93320407,18.84675281
93355,-98.88567146,18.84578859
93356,-98.83813953,18.84480953
93357,-98.79060828,18.84381565
93358,-98.74307772,18.84280694
93359,-98.69554788,18.8417834
93360,-98.64801874,18.84074503
93361,-98.60049034,18.83969184
93362,-98.55296267,18.83862382
93363,-98.50543574,18.83754097
93364,-98.45790957,18.8364433
93365,-98.41038417,18.8353308
93366,-98.36285955,18.83420347
93367,-98.31533571,18.83306132
94319,-100.5967284,18.91622783
94320,-100.549163,18.91578263
94321,-100.5015979,18.91532258
94322,-100.4540332,18.91484769
94323,-100.4064688,18.91435797
94324,-100.3589047,18.9138534
94325,-100.311341,18.913334
94326,-100.2637777,18.91279976
94327,-100.2162147,18.91225068
94328,-100.1686521,18.91168677
94329,-100.1210899,18.91110801
94330,-100.0735282,18.91051442
94331,-100.0259668,18.90990599
94332,-99.97840587,18.90928272
94333,-99.93084538,18.90864462
94334,-99.88328534,18.90799167
94335,-99.83572575,18.90732389
94336,-99.78816664,18.90664128
94337,-99.740608,18.90594382
94338,-99.69304986,18.90523153
94339,-99.64549221,18.90450441
94340,-99.59793508,18.90376245
94341,-99.55037846,18.90300565
94342,-99.50282238,18.90223402
94343,-99.45526684,18.90144755
94344,-99.40771185,18.90064624
94345,-99.36015742,18.8998301
94346,-99.31260356,18.89899913
94347,-99.26505029,18.89815332
94348,-99.21749761,18.89729268
94349,-99.16994553,18.8964172
94350,-99.12239407,18.89552689
94351,-99.07484323,18.89462174
94352,-99.02729302,18.89370176
94353,-98.97974345,18.89276695
94354,-98.93219455,18.8918173
94355,-98.8846463,18.89085282
94356,-98.83709873,18.88987351
94357,-98.78955185,18.88887937
94358,-98.74200566,18.88787039
94359,-98.69446018,18.88684659
94360,-98.64691541,18.88580795
94361,-98.59937137,18.88475448
94362,-98.55182807,18.88368618
94363,-98.50428551,18.88260305
94364,-98.45674371,18.88150508
94365,-98.40920268,18.88039229
94366,-98.36166243,18.87926467
94367,-98.31412297,18.87812222
95319,-100.5962662,18.96129575
95320,-100.5486851,18.96085042
95321,-100.5011044,18.96039026
95322,-100.453524,18.95991524
95323,-100.4059439,18.95942539
95324,-100.3583642,18.95892069
95325,-100.3107848,18.95840116
95326,-100.2632058,18.95786677
95327,-100.2156272,18.95731755
95328,-100.168049,18.95675349
95329,-100.1204711,18.95617458
95330,-100.0728937,18.95558083
95331,-100.0253167,18.95497224
95332,-99.97774007,18.95434881
95333,-99.93016392,18.95371053
95334,-99.88258822,18.95305742
95335,-99.83501298,18.95238946
95336,-99.78743821,18.95170667
95337,-99.73986392,18.95100903
95338,-99.69229011,18.95029655
95339,-99.64471681,18.94956924
95340,-99.59714402,18.94882708
95341,-99.54957175,18.94807008
95342,-99.50200001,18.94729825
95343,-99.45442882,18.94651157
95344,-99.40685817,18.94571006
95345,-99.35928809,18.9448937
95346,-99.31171858,18.94406251
95347,-99.26414966,18.94321648
95348,-99.21658132,18.94235561
95349,-99.16901359,18.9414799
95350,-99.12144648,18.94058935
95351,-99.07387999,18.93968397
95352,-99.02631413,18.93876375
95353,-98.97874892,18.93782869
95354,-98.93118436,18.93687879
95355,-98.88362047,18.93591406
95356,-98.83605725,18.93493449
95357,-98.78849472,18.93394009
95358,-98.74093289,18.93293085
95359,-98.69337176,18.93190677
95360,-98.64581135,18.93086786
95361,-98.59825167,18.92981411
95362,-98.55069273,18.92874553
95363,-98.50313453,18.92766211
95364,-98.45557709,18.92656386
95365,-98.40802042,18.92545078
95366,-98.36046452,18.92432286
95367,-98.31290942,18.9231801
96319,-100.5958037,19.00636071
96320,-100.548207,19.00591527
96321,-100.5006106,19.00545498
96322,-100.4530145,19.00497984
96323,-100.4054187,19.00448986
96324,-100.3578233,19.00398503
96325,-100.3102283,19.00346535
96326,-100.2626336,19.00293083
96327,-100.2150393,19.00238146
96328,-100.1674454,19.00181725
96329,-100.1198519,19.00123818
96330,-100.0722588,19.00064428
96331,-100.0246661,19.00003553
96332,-99.97707384,18.99941193
96333,-99.92948202,18.99877349
96334,-99.88189065,18.9981202
96335,-99.83429974,18.99745207
96336,-99.7867093,18.99676909
96337,-99.73911934,18.99607127
96338,-99.69152987,18.99535861
96339,-99.6439409,18.9946311
96340,-99.59635244,18.99388875
96341,-99.54876451,18.99313155
96342,-99.5011771,18.99235951
96343,-99.45359024,18.99157263
96344,-99.40600393,18.9907709
96345,-99.35841819,18.98995433
96346,-99.31083302,18.98912292
96347,-99.26324843,18.98827666
96348,-99.21566443,18.98741556
96349,-99.16808104,18.98653963
96350,-99.12049826,18.98564884
96351,-99.07291611,18.98474322
96352,-99.0253346,18.98382276
96353,-98.97775373,18.98288745
96354,-98.93017351,18.98193731
96355,-98.88259396,18.98097232
96356,-98.83501509,18.97999249
96357,-98.7874369,18.97899783
96358,-98.73985941,18.97798832
96359,-98.69228263,18.97696397
96360,-98.64470657,18.97592479
96361,-98.59713123,18.97487076
96362,-98.54955663,18.9738019
96363,-98.50198278,18.9727182
96364,-98.45440969,18.97161966
96365,-98.40683737,18.97050628
96366,-98.35926583,18.96937806
96367,-98.31169508,18.96823501
97319,-100.5953409,19.05142273
97320,-100.5477285,19.05097717
97321,-100.5001164,19.05051676
97322,-100.4525046,19.0500415
97323,-100.4048932,19.04955139
97324,-100.3572821,19.04904642
97325,-100.3096714,19.04852661
97326,-100.262061,19.04799195
97327,-100.2144511,19.04744243
97328,-100.1668415,19.04687807
97329,-100.1192323,19.04629886
97330,-100.0716235,19.04570479
97331,-100.0240151,19.04509588
97332,-99.97640717,19.04447212
97333,-99.92879967,19.04383351
97334,-99.88119262,19.04318005
97335,-99.83358603,19.04251174
97336,-99.78597991,19.04182858
97337,-99.73837427,19.04113058
97338,-99.69076912,19.04041772
97339,-99.64316448,19.03969002
97340,-99.59556034,19.03894747
97341,-99.54795673,19.03819007
97342,-99.50035365,19.03741783
97343,-99.45275111,19.03663074
97344,-99.40514913,19.0358288
97345,-99.35754771,19.03501201
97346,-99.30994687,19.03418038
97347,-99.2623466,19.0333339
97348,-99.21474694,19.03247258
97349,-99.16714787,19.03159641
97350,-99.11954943,19.03070539
97351,-99.07195161,19.02979953
97352,-99.02435442,19.02887882
97353,-98.97675788,19.02794327
97354,-98.929162,19.02699287
97355,-98.88156678,19.02602763
97356,-98.83397224,19.02504754
97357,-98.78637839,19.02405261
97358,-98.73878523,19.02304284
97359,-98.69119278,19.02201822
97360,-98.64360106,19.02097876
97361,-98.59601006,19.01992446
97362,-98.54841979,19.01885531
97363,-98.50083028,19.01777132
97364,-98.45324153,19.01667249
97365,-98.40565355,19.01555882
97366,-98.35806635,19.01443031
97367,-98.31047993,19.01328695
98319,-100.5948778,19.09648185
