"CLAVE","CVE_EST","NOMBRE","MUNICIPIO","SITUACION","Latitud","Longitud","Altitud"
30032,"ver","Coscomatepec (SMN)","Coscomatepec","Suspendida",19.07166667,-97.04611111,1530
30033,"ver","Coyame (CFE)","Catemaco","Suspendida",18.4375,-95.02555556,342
30034,"ver","Coyutla (CFE)","Coyutla","Suspendida",20.25583333,-97.64361111,132
30035,"ver","Cuatotolapan","Hueyapan De Ocampo","Operando",18.14444444,-95.29583333,20
30036,"ver","Cuichapa","Cuichapa","Suspendida",18.77083333,-96.86944444,571
30037,"ver","Cuitlahuac","Cuitlˇhuac","Suspendida",18.81138889,-96.72,368
30038,"ver","Tuxpan (CFE)","Tuxpan","Suspendida",20.90694444,-97.43861111,2
30039,"ver","Chicayan","Tempoal","Suspendida",21.62694444,-98.12416667,37
30040,"ver","Chiconquiaco","Chiconquiaco","Suspendida",19.74305556,-96.81805556,2063
30041,"ver","Chicontepec De Tejeda (SMN)","Chicontepec","Operando",20.99333333,-98.16388889,291
30042,"ver","Chilapa","La Perla","Suspendida",18.98333333,-97.15,2123
30043,"ver","Chinameca","Chinameca","Suspendida",18.04166667,-94.6625,14
30044,"ver","Dobledero","Jos? Azueta","Suspendida",18.11527778,-95.76666667,82
30045,"ver","El Barrio","Tierra Blanca","Suspendida",18.54305556,-96.09861111,11
30046,"ver","Cardon","Tempoal","Operando",21.41388889,-98.48333333,101
30047,"ver","El Coyol (CFE)","Comapa","Suspendida",19.17222222,-96.69638889,545
30048,"ver","El Copital","Medell≠n De Bravo","Suspendida",18.96666667,-96.205,14
30049,"ver","El Higo","El Higo","Operando",21.77722222,-98.44388889,29
30050,"ver","El Faisan","Paso De Ovejas","Suspendida",19.31861111,-96.37694444,135
30051,"ver","El Olivo","Pˇnuco","Operando",21.83222222,-98.50388889,23
30052,"ver","Elotepec (CFE)","Huatusco","Suspendida",19.18666667,-97.03944444,1030
30053,"ver","El Palmar","Tezonapa","Suspendida",18.53333333,-96.78333333,103
30054,"ver","El Raudal","Nautla","Operando",20.15611111,-96.72111111,10
30055,"ver","El Remolino (CFE)","Papantla","Suspendida",20.3875,-97.24333333,119
30056,"ver","El Tejar","Medell≠n De Bravo","Operando",19.06722222,-96.15833333,10
30057,"ver","El Zetal (CFE)","Actopan","Suspendida",19.52722222,-96.66888889,348
30058,"ver","Espinal (CFE)","Espinal","Suspendida",20.25777778,-97.41861111,62
30059,"ver","Paija","Pˇnuco","Operando",22.04,-98.41111111,12
30060,"ver","Fanal De Nautla","Nautla","Suspendida",20.20722222,-96.77222222,3
30061,"ver","Fortin De Las Flores","Fort≠n","Suspendida",18.90277778,-96.99722222,1020
30062,"ver","Francisco Sarabia","Misantla","Suspendida",20.02027778,-96.97361111,78
30063,"ver","Francisco Villa","Las Choapas","Suspendida",17.50555556,-94.04027778,137
30064,"ver","Hidalgotitlan","Hidalgotitlˇn","Suspendida",17.77166667,-94.63888889,13
30065,"ver","Huazuntlan","Mecayapan","Suspendida",18.15555556,-94.79138889,447
30066,"ver","Huatusco De Chicuellar","Huatusco","Suspendida",19.15,-96.95972222,1284
30067,"ver","Huayacocotla","Huayacocotla","Operando",20.53361111,-98.47777778,2168
30068,"ver","Los Idolos","Actopan","Operando",19.40833333,-96.51638889,100
30069,"ver","Ignacio De La Llave","Ignacio De La Llave","Suspendida",18.72777778,-95.98611111,13
30070,"ver","Independencia","Juan Rodr≠guez Clara","Suspendida",17.79583333,-95.42083333,97
30071,"ver","Ixcatepec","Ixcatepec","Operando",21.23944444,-98.00333333,173
30072,"ver","Ixhuatlan Del Cafe","Ixhuatlˇn Del Caf?","Suspendida",19.05,-96.98611111,1350
30073,"ver","Juchique De Ferrer","Juchique De Ferrer","Suspendida",19.84166667,-96.69722222,353
30074,"ver","Jalacingo","Jalacingo","Operando",19.80611111,-97.30777778,1880
30075,"ver","Jalapa De Enriquez (OBS)","Xalapa","Operando",19.51194444,-96.90388889,1360
30076,"ver","Jalcomulco (CFE)","Jalcomulco","Suspendida",19.33,-96.76194444,335
30077,"ver","Jaltipan De Morelos","Jˇltipan","Operando",17.96388889,-94.72222222,66
30078,"ver","Joachin","Tierra Blanca","Suspendida",18.63888889,-96.23333333,45
30079,"ver","Joloapan (CFE)","Papantla","Suspendida",20.23777778,-97.27944444,47
30080,"ver","Rio Blanco","Tlalixcoyan","Suspendida",18.71666667,-96.1,29
30081,"ver","La Florencia","San Juan Evangelista","Operando",17.575,-95.18055556,109
30082,"ver","La Granja","Tres Valles","Suspendida",18.36111111,-96.25972222,50
30083,"ver","La Lima","San Juan Evangelista","Suspendida",17.92361111,-95.16388889,30
30084,"ver","La Michoacana","Pˇnuco","Operando",22.355,-98.2675,25
30085,"ver","La Tembladera (CFE)","Xico","Suspendida",19.51611111,-97.11833333,3127
30086,"ver","La Victoria","Tlalixcoyan","Suspendida",18.76666667,-96.25,45
30087,"ver","Las Animas","Xalapa","Suspendida",19.5,-96.885,1281
30088,"ver","Las Charcas","Tierra Blanca","Suspendida",18.55527778,-96.02805556,5
30089,"ver","Las Minas (CFE)","Las Minas","Suspendida",19.68972222,-97.1475,1415
30090,"ver","Las Perlas","Jesús Carranza","Operando",17.41666667,-94.91388889,22
30091,"ver","Las Prietas","Tierra Blanca","Suspendida",18.50222222,-96.41111111,26
30092,"ver","Las Vigas","Tlalixcoyan","Suspendida",18.74444444,-96.08194444,18
30093,"ver","Loma Fina","Paso De Ovejas","Operando",19.26138889,-96.41,41
30094,"ver","Los Capulines","Cotaxtla","Suspendida",18.85666667,-96.29111111,54
30095,"ver","Los Mangos","Hueyapan De Ocampo","Suspendida",18.24361111,-95.12277778,34
30096,"ver","Los Naranjos","Tres Valles","Suspendida",18.36666667,-96.2,28
30097,"ver","Los Pescados (CFE)","Perote","Suspendida",19.56138889,-97.14805556,2395
30098,"ver","Los Hules","Chalma","Operando",21.17083333,-98.27916667,75
30099,"ver","Madereros","Tlalixcoyan","Suspendida",18.73472222,-96.18333333,24
30100,"ver","Maltrata (DGE)","Maltrata","Suspendida",18.81111111,-97.27222222,1713
30101,"ver","Manlio Fabio Altamiramo","Manlio Fabio Altamirano","Operando",19.09444444,-96.33888889,44
30102,"ver","Martinez De La Torre (DGE)","Mart≠nez De La Torre","Operando",20.07916667,-97.06388889,89
30103,"ver","Mata De Limones","Isla","Suspendida",18.10972222,-95.52777778,58
30104,"ver","Mata Anona (CFE)","Paso Del Macho","Suspendida",19.16305556,-96.49583333,214
30105,"ver","Mata Tenatito","Omealca","Suspendida",18.72222222,-96.6625,256
30106,"ver","Melchor Ocampo (CFE)","Espinal","Suspendida",20.345,-97.53416667,139
30107,"ver","Minatitlan","Minatitlˇn","Suspendida",17.98888889,-94.55861111,35
30108,"ver","Misantla","Misantla","Operando",19.92916667,-96.85555556,310
30109,"ver","Moreno Sur","Tierra Blanca","Suspendida",18.57638889,-96.24444444,44
30110,"ver","Morillo","Santiago Tuxtla","Suspendida",18.29444444,-95.41944444,37
30111,"ver","Motzorongo","Tezonapa","Suspendida",18.64305556,-96.73194444,268
30112,"ver","Mozomboa","Actopan","Suspendida",19.50388889,-96.47222222,70
30113,"ver","Nanchital (SMN)","Nanchital De Lˇzaro Cˇrdenas Del R≠o","Suspendida",18.06666667,-94.41666667,20
30114,"ver","Naolinco De Victoria","Naolinco","Operando",19.65194444,-96.87305556,1542
30115,"ver","Naranjal (CFE)","Fort≠n","Suspendida",18.81388889,-96.96222222,697
30116,"ver","Nopalapan","Juan Rodr≠guez Clara","Suspendida",18.10972222,-95.33055556,28
30117,"ver","Paraiso Novillero","Cosamaloapan De Carpio","Operando",18.25833333,-95.94166667,8
30118,"ver","Nuevo Ixcatlan","Playa Vicente","Suspendida",17.63333333,-95.43888889,48
30119,"ver","Omealca","Omealca","Suspendida",18.74722222,-96.78611111,423
30120,"ver","Orizaba (OBS)","Orizaba","Operando",18.85,-97.1,1237
30121,"ver","Otatitlan","Otatitlˇn","Suspendida",18.18055556,-96.03888889,19
30122,"ver","Ozuluama","Ozuluama De Mascareœas","Operando",21.66111111,-97.85055556,165
30123,"ver","Palo Gacho","Tlalixcoyan","Suspendida",18.74861111,-96.33194444,67
30124,"ver","Panuco (SMN)","Pˇnuco","Suspendida",22.06666667,-98.18333333,11
30125,"ver","Papantla","Papantla","Operando",20.44583333,-97.325,190
30126,"ver","Paso Del Cedro","Actopan","Suspendida",19.50222222,-96.38944444,20
30127,"ver","Tampico Alto","Tampico Alto","Operando",22.10916667,-97.79861111,20
30128,"ver","Perote","Perote","Operando",19.58083333,-97.24777778,2392
30129,"ver","Piedras Negras","Tlalixcoyan","Suspendida",18.75,-96.16666667,28
30130,"ver","Platon Sanchez","PlatΩn Sˇnchez","Operando",21.29805556,-98.35638889,57
30131,"ver","Playa Vicente","Playa Vicente","Suspendida",17.83055556,-95.81111111,49
30132,"ver","Poza Rica","Poza Rica De Hidalgo","Operando",20.54083333,-97.47277778,50
30133,"ver","Presa Otapa","Tierra Blanca","Suspendida",18.68333333,-96.43333333,71
30134,"ver","Progreso De Zaragoza","Coahuitlˇn","Suspendida",20.27361111,-97.71111111,184
30135,"ver","Xalapa (CFE)","Xalapa","Operando",19.55,-96.85,1138
30136,"ver","Puente Jula","Paso De Ovejas","Suspendida",19.19611111,-96.34388889,63
30137,"ver","Puente Nacional (CFE)","Puente Nacional","Suspendida",19.325,-96.48166667,87
30138,"ver","Alto Lucero","Alto Lucero De Guti?rrez Barrios","Operando",19.62166667,-96.73611111,1121
30139,"ver","Punta Limon (CFE)","Alto Lucero De Guti?rrez Barrios","Suspendida",19.87305556,-96.50333333,20
30140,"ver","Rancho Viejo","Emiliano Zapata","Operando",19.44694444,-96.78361111,914
30141,"ver","Rinconada","Emiliano Zapata","Suspendida",19.35277778,-96.56388889,263
30142,"ver","Rincon Pacheco","Tres Valles","Suspendida",18.36666667,-96.16666667,14
30143,"ver","Juan Rodriguez Clara","Juan Rodr≠guez Clara","Operando",17.99305556,-95.40277778,148
30144,"ver","Rodriguez Tejeda","Tierra Blanca","Suspendida",18.63055556,-96.41666667,110
30145,"ver","San Alejo","Paso Del Macho","Suspendida",18.93333333,-96.75166667,454
30146,"ver","San Andres","San Andr?s Tuxtla","Suspendida",18.44722222,-95.21111111,288
30147,"ver","San Juan Evangelista (DGE)","San Juan Evangelista","Operando",17.88333333,-95.14583333,18
30148,"ver","San Juanillo","Acayucan","Operando",18.065,-95.14861111,39
30149,"ver","San Juan Seco","Catemaco","Suspendida",18.31111111,-95.15416667,405
30150,"ver","San Miguel","Acula","Suspendida",18.53333333,-95.73333333,3
30151,"ver","San Miguelito","CΩrdoba","Suspendida",18.86388889,-96.91805556,781
30152,"ver","Garro","Isla","Operando",18.27055556,-95.55694444,20
30153,"ver","San Rafael","San Rafael","Suspendida",20.19444444,-96.86944444,8
30154,"ver","Santa Ana (CFE)","Coyutla","Suspendida",20.25861111,-97.59166667,117
